,singer,genre,content,likes,sentiment,release_filled,release_rank,year,scaled_likes,feature
19093,Cage The Elephant,록/메탈,Trouble,4479,stress,2015-12-18,0.37128872981306194,2015,0.01758373769256136,0.3888724675056233
19094,King Krule,록/메탈,Baby Blue,9127,stress,2013-08-24,0.27303305375277603,2013,0.035092913361606574,0.3081259671143826
19095,Dabeull,일렉트로니카,Do It,2166,stress,2019-03-07,0.635955928329632,2019,0.005030132023548264,0.6409860603531803
19096,Bruno Major,POP,Easily,45370,stress,2018-04-20,0.5502274736410876,2018,0.11936049922522224,0.6695879728663099
19097,Q,록/메탈,The Cry Out,59,stress,2021-06-04,0.9113176221997026,2021,0.00019327912781974592,0.9115109013275223
19098,Mad Soul Child,"록/메탈, 국내영화",Dear,12617,stress,2010-12-14,0.2051575066301559,2010,0.08261848946396533,0.2877759960941212
19099,Mild High Club,록/메탈,Kokopelli,5904,stress,2018-11-08,0.6027728066581859,2018,0.01553238676274437,0.6183051934209303
19100,Sufjan Stevens,국외영화,Visions of Gideon,19439,stress,2017-12-22,0.5242458871472003,2017,0.03521232639737995,0.5594582135445803
19101,The Weeknd,R&B/Soul,Call Out My Name,21780,stress,2018-03-30,0.5448155415166348,2018,0.057299353606465514,0.6021148951231003
19102,Jakob Ogawa,록/메탈,Up and Away,1235,stress,2017-09-05,0.493607020418724,2017,0.002237112150870119,0.49584413256959414
19103,Mokyo,포크/블루스,testing,469,stress,2020-12-21,0.8550421526984197,2020,0.001099447228877251,0.8561415999272969
19104,some:r (소머),"R&B/Soul, 인디음악",dear.,5252,stress,2019-01-08,0.6205610297764075,2019,0.012196792884430046,0.6327578226608376
19105,Land of Peace (랜드오브피스),"인디음악, 록/메탈",Dunk Shot,676,stress,2017-12-21,0.5239009034261196,2017,0.0012245245457394335,0.525125427971859
19106,혁오 (HYUKOH),"인디음악, 록/메탈",Ohio,53654,stress,2014-09-18,0.3091269755708403,2014,0.16175508518265055,0.4708820607534908
19107,Lana Del Rey,POP,Love,13819,stress,2017-07-21,0.4853489725953557,2017,0.025032107540788804,0.5103810801361445
19108,Land of Peace (랜드오브피스),"인디음악, 록/메탈",My Single Bed,1178,stress,2018-07-28,0.5725004851333578,2018,0.0030991110444635616,0.5755995961778214
19109,Ra Ra Riot,"POP, 록/메탈",Bad To Worse,789,stress,2019-08-09,0.6818603247159276,2019,0.001832305709408855,0.6836926304253365
19110,MGMT,POP,Hand It Over,1173,stress,2018-01-05,0.5265960887470623,2018,0.003085956922882647,0.5296820456699449
19111,Suff Daddy,랩/힙합,Macrowave,571,stress,2016-07-06,0.4049893270661291,2016,0.0020057960832528324,0.40699512314938197
19112,offonoff (오프온오프),일렉트로니카,Overthinking,13707,stress,2017-07-24,0.48612518596778714,2017,0.024829227734394107,0.5109544137021812
19113,Land of Peace (랜드오브피스),"인디음악, 록/메탈",Hometown,1081,stress,2017-11-23,0.5175187045861275,2017,0.0019581524170774077,0.5194768570032049
19114,혁오 (HYUKOH),"인디음악, 록/메탈",공드리,59328,stress,2015-05-28,0.3396795963690463,2015,0.2329109153436661,0.5725905117127124
19115,offonoff (오프온오프),일렉트로니카,bath,46257,stress,2016-09-21,0.41540352314625156,2016,0.16249055940985335,0.577894082556105
19116,Liam Gallagher,록/메탈,For What It's Worth,5264,stress,2017-10-06,0.5021453675154705,2017,0.009535350900550856,0.5116807184160214
19117,Homeshake,록/메탈,Midnight Snack,3001,stress,2017-02-14,0.44899631298648096,2017,0.005436091955272249,0.4544324049417532
19118,HONNE,일렉트로니카,Woman,17829,stress,2016-08-20,0.40945255395761015,2016,0.06262931413014841,0.47208186808775854
19119,PREP,R&B/Soul,Futures,2973,stress,2017-10-19,0.5056814506565472,2017,0.005385372003673574,0.5110668226602209
19120,테림 (TE RIM),"인디음악, 일렉트로니카",SLIDING DOORS,555,stress,2017-11-22,0.5172168438301818,2017,0.001005341897759446,0.5182221857279413
19121,Tom Misch,POP,Outro,737,stress,2018-04-03,0.5453330170982558,2018,0.0019389175210268634,0.5472719346192826
19122,Lauv,POP,Comfortable,13587,stress,2018-10-08,0.5910217986588758,2018,0.03574500998397828,0.6267668086428542
19123,Land of Peace (랜드오브피스),"인디음악, 록/메탈",Plastic Heart,433,stress,2016-08-09,0.40839604131180063,2016,0.001521032756652323,0.40991707406845296
19124,PREP,R&B/Soul,Sunburnt Through The Glass,5490,stress,2017-10-19,0.5056814506565472,2017,0.009944733367025872,0.5156261840235731
19125,Phony PPL,R&B/Soul,Cookie Crumble.,2766,stress,2018-10-19,0.5952694107246815,2018,0.0072768600585621495,0.6025462707832436
19126,James Bay,록/메탈,Slide,5018,stress,2018-05-18,0.5559412665214861,2018,0.013201476418606242,0.5691427429400924
19127,Lossapardo,R&B/Soul,Sleep (3 A.M.),5777,stress,2018-09-13,0.5825912589749672,2018,0.01519827207458913,0.5977895310495563
19128,The Colored Paper,"랩/힙합, 인디음악",Dust Allergy,693,stress,2017-09-04,0.49336984411048107,2017,0.0012553188020672003,0.49462516291254827
19129,Daft Punk,일렉트로니카,Something About Us,32437,stress,2001-03-13,0.05681450656547144,2001,0.33783614889495284,0.39465065546042427
19130,offonoff (오프온오프),일렉트로니카,homeless door (Feat. Rad Museum),15230,stress,2017-07-24,0.48612518596778714,2017,0.02758803081599345,0.5137132167837806
